time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-10-13T02:17:21.930Z,25.7423,92.7762,10,4.4,mb,27,140,7.007,0.9,us,us6000nyde,2024-10-18T01:11:25.063Z,"29 km SSW of Hojāi, India",earthquake,13.75,1.94,0.102,28,reviewed,us,us
2024-10-03T01:09:15.456Z,21.9162,94.3332,98.792,4.2,mb,18,138,0.892,0.85,us,us6000nw74,2024-10-03T01:36:16.005Z,"85 km WSW of Monywa, Myanmar",earthquake,14.44,12.69,0.166,10,reviewed,us,us
2024-09-26T11:00:45.704Z,25.723,92.6799,10,4.3,mb,25,133,4.943,1.05,us,us7000ngj5,2024-09-26T19:27:11.917Z,"35 km SSW of Hojāi, India",earthquake,12.21,1.968,0.119,20,reviewed,us,us
2024-09-24T10:37:50.067Z,21.1143,94.985,127.9,4.6,mb,101,63,4.568,0.49,us,us6000nu1v,2024-09-24T13:24:50.040Z,"26 km SSW of Pakokku, Myanmar",earthquake,3.08,7.011,0.058,89,reviewed,us,us
2024-09-23T19:03:59.562Z,20.7407,89.4934,10,4.2,mb,29,171,8.009,0.83,us,us7000nguk,2024-10-05T12:42:14.005Z,"173 km SSE of Gosāba, India",earthquake,8.87,1.785,0.121,19,reviewed,us,us
2024-09-09T12:46:46.822Z,22.3738,94.6407,122.947,4.1,mb,21,136,1.19,0.81,us,us6000ny32,2024-10-18T10:25:25.040Z,"58 km WNW of Monywa, Myanmar",earthquake,14.4,6.794,0.165,11,reviewed,us,us
2024-09-06T14:28:32.621Z,27.1557,89.2979,10,4.6,mb,17,108,3.628,0.6,us,us6000nxk8,2024-10-12T10:53:58.040Z,"22 km NNW of Daphu, Bhutan",earthquake,12.36,1.93,0.164,11,reviewed,us,us
2024-08-27T20:19:40.853Z,20.7336,94.8703,113.698,4.4,mb,28,152,0.472,0.97,us,us6000nwaj,2024-10-07T16:37:09.005Z,"19 km SSE of Chauk, Myanmar",earthquake,11.48,5.194,0.169,10,reviewed,us,us
2024-08-14T23:06:45.518Z,25.1793,94.6614,10,4.2,mb,47,101,3.719,0.65,us,us7000n729,2024-09-09T05:50:45.040Z,"56 km SSE of Phek, India",earthquake,9.84,1.901,0.096,30,reviewed,us,us
2024-08-09T01:27:10.980Z,27.1586,88.1937,35,4.5,mb,68,77,2.667,0.88,us,us6000nj06,2024-09-11T23:03:04.040Z,"5 km NW of Naya Bāzār, India",earthquake,8.52,1.557,0.053,108,reviewed,us,us
2024-08-07T13:36:03.663Z,24.1886,94.6559,87.298,4.4,mb,90,53,3.15,0.53,us,us6000niqj,2024-09-17T12:07:47.040Z,"65 km NNE of Mawlaik, Myanmar",earthquake,8.35,7.099,0.067,65,reviewed,us,us
2024-07-29T01:42:43.390Z,23.6529,94.1644,47.026,4,mb,19,115,2.516,0.38,us,us6000nk4x,2024-10-11T19:39:10.040Z,"24 km W of Mawlaik, Myanmar",earthquake,12.19,9.779,0.183,8,reviewed,us,us
2024-07-28T10:11:03.470Z,21.3196,93.8961,67.884,4.8,mb,29,85,4.306,1.17,us,us6000njvl,2024-10-08T21:49:15.005Z,"106 km WNW of Chauk, Myanmar",earthquake,11.19,7.692,0.127,19,reviewed,us,us
2024-07-21T20:19:29.777Z,22.5892,94.3355,63.996,4.3,mb,51,136,1.479,0.58,us,us7000n0q1,2024-09-28T22:42:56.040Z,"74 km E of Hakha, Myanmar",earthquake,9.53,2.974,0.09,35,reviewed,us,us
2024-07-05T17:14:36.604Z,24.997,95.2533,130.497,4.4,mb,65,63,6.187,0.41,us,us7000mxba,2024-09-12T21:52:29.040Z,"106 km SE of Phek, India",earthquake,5.35,6.621,0.073,60,reviewed,us,us
2024-07-04T21:12:27.022Z,24.3726,92.6936,35,4.4,mb,60,88,1.944,0.68,us,us7000mx4s,2024-09-12T21:52:28.040Z,"16 km N of Kolasib, India",earthquake,5.94,1.901,0.087,38,reviewed,us,us
2024-06-28T20:56:27.864Z,22.6841,94.0078,31.394,4.4,mb,40,94,2.184,0.64,us,us7000mx8d,2024-09-04T21:57:43.040Z,"41 km E of Hakha, Myanmar",earthquake,9.19,5.165,0.109,27,reviewed,us,us
2024-06-26T13:39:33.305Z,24.3949,93.8041,57.577,4.6,mb,104,66,2.619,0.52,us,us6000n89d,2024-09-04T21:57:41.040Z,"11 km SSE of Moirāng, India",earthquake,8.7,6.656,0.059,86,reviewed,us,us
2024-06-09T04:35:09.641Z,27.4645,93.088,39.251,4.3,mb,29,126,2.819,1.15,us,us7000mrac,2024-08-16T21:59:17.040Z,"66 km NW of Itānagar, India",earthquake,10.55,8.674,0.137,16,reviewed,us,us
2024-06-06T10:28:16.661Z,23.9042,94.1522,49.578,4.1,mb,19,105,2.611,0.8,us,us7000ms6q,2024-08-16T21:59:21.040Z,"38 km NW of Mawlaik, Myanmar",earthquake,7.87,8.549,0.213,6,reviewed,us,us
2024-06-02T08:44:59.515Z,22.8369,94.5714,106.754,4.8,mb,82,49,1.654,0.65,us,us7000mplk,2024-08-06T20:32:50.040Z,"90 km S of Mawlaik, Myanmar",earthquake,8.59,5.747,0.05,124,reviewed,us,us
2024-05-31T02:20:09.465Z,25.7318,91.0047,41.021,4.1,mb,16,124,3.096,1.12,us,us7000mqqy,2024-08-06T20:32:51.040Z,"35 km NW of Nongstoin, India",earthquake,7,10.081,0.197,7,reviewed,us,us
2024-05-29T13:13:27.000Z,23.527,94.6623,97.552,5.4,mww,180,26,2.322,0.61,us,us7000mnrr,2024-08-06T20:32:47.040Z,"29 km ESE of Mawlaik, Myanmar",earthquake,7.5,5.247,0.057,30,reviewed,us,us
2024-05-07T01:40:29.325Z,24.3778,94.8016,113.981,4.4,mb,45,117,3.357,0.98,us,us6000mwva,2024-07-20T22:20:01.040Z,"78 km ESE of Wāngjing, India",earthquake,9.73,7.804,0.088,37,reviewed,us,us
2024-04-20T16:46:37.024Z,21.9812,92.651,44.892,4.1,mb,28,160,1.162,0.58,us,us6000mu0v,2024-06-25T21:02:32.040Z,"50 km ESE of Bāndarban, Bangladesh",earthquake,8.89,5.798,0.131,16,reviewed,us,us
2024-04-13T19:27:02.865Z,21.4027,95.0167,120.556,4,mb,22,87,0.217,0.49,us,us7000md85,2024-06-17T02:15:27.040Z,"10 km NW of Pakokku, Myanmar",earthquake,11.14,4.931,0.184,8,reviewed,us,us
2024-03-13T08:20:56.953Z,23.8285,93.9123,82.647,4.2,mb,27,81,2.381,0.79,us,us6000mjsp,2024-05-18T21:23:54.040Z,"54 km WNW of Mawlaik, Myanmar",earthquake,7.45,8.127,0.186,10,reviewed,us,us
2024-03-12T08:57:52.678Z,25.7414,90.2866,10,4.4,mb,59,78,3.292,0.79,us,us7000m4tz,2024-05-18T21:24:40.040Z,"26 km NNE of Tura, India",earthquake,8.18,1.845,0.081,44,reviewed,us,us
2024-03-07T22:58:24.456Z,23.2072,94.4293,101.657,4.2,mb,53,111,2.042,0.63,us,us7000m413,2024-05-15T17:35:03.040Z,"48 km S of Mawlaik, Myanmar",earthquake,5.89,6.015,0.082,41,reviewed,us,us
